Date,Church,Women,Men,Turned Away,Total Guests,Total Demand
11/29/17,Blessed Sacrament,14,33,2,47,49
11/30/17,Blessed Sacrament,17,32,5,49,54
12/1/17,Blessed Sacrament,15,26,0,41,41
12/2/17,Blessed Sacrament,19,33,1,52,53
12/3/17,Blessed Sacrament,17,37,1,54,55
12/4/17,Blessed Sacrament,19,32,6,51,57
12/5/17,Blessed Sacrament,17,32,1,49,50
12/6/17,First Lutheran / Great Bridge UMC,21,51,0,72,72
12/7/17,First Lutheran / Great Bridge UMC,20,56,0,76,76
12/8/17,First Lutheran / Great Bridge UMC,19,60,0,79,79
12/9/17,First Lutheran / Great Bridge UMC,20,73,0,93,93
12/10/17,First Lutheran / Great Bridge UMC,22,71,0,93,93
12/11/17,First Lutheran / Great Bridge UMC,24,86,0,110,110
12/12/17,First Lutheran / Great Bridge UMC,23,84,0,107,107
12/13/17,Wesley Grace,24,38,26,62,88
12/14/17,Wesley Grace,19,47,27,66,93
12/15/17,Wesley Grace,16,48,20,64,84
12/16/17,Wesley Grace,25,53,14,78,92
12/17/17,Wesley Grace,23,48,8,71,79
12/18/17,Wesley Grace,20,44,14,64,78
12/19/17,Wesley Grace,26,45,17,71,88
12/20/17,First Presbyterian Church / Christ the King,25,80,0,105,105
12/21/17,First Presbyterian Church / Christ the King,24,91,0,115,115
12/22/17,First Presbyterian Church / Christ the King,26,74,0,100,100
12/23/17,First Presbyterian Church / Christ the King,24,67,0,91,91
12/24/17,First Presbyterian Church / Christ the King,21,69,0,90,90
12/25/17,First Presbyterian Church / Christ the King,24,76,0,100,100
12/26/17,First Presbyterian Church / Christ the King,31,83,0,114,114
12/27/17,Larchmont Methodist / Christ & St Luke's ,25,89,0,114,114
12/28/17,Larchmont Methodist / Christ & St Luke's ,21,83,0,104,104
12/29/17,Larchmont Methodist / Christ & St Luke's ,18,60,0,78,78
12/30/17,Larchmont Methodist / Christ & St Luke's ,26,71,2,97,99
12/31/17,Larchmont Methodist / Christ & St Luke's ,24,86,3,110,113
1/1/18,Larchmont Methodist / Christ & St Luke's ,25,89,0,114,114
1/2/18,Larchmont Methodist / Christ & St Luke's ,22,84,0,106,106
1/3/18,Tabernacle / Ohef Sholom Temple,24,86,4,110,114
1/4/18,Tabernacle / Ohef Sholom Temple,27,105,2,132,134
1/5/18,Tabernacle / Ohef Sholom Temple,28,94,0,122,122
1/6/18,Tabernacle / Ohef Sholom Temple,29,94,0,123,123
1/7/18,Tabernacle / Ohef Sholom Temple,27,88,2,115,117
1/8/18,Tabernacle / Ohef Sholom Temple,25,97,6,122,128
1/9/18,Tabernacle / Ohef Sholom Temple,28,88,2,116,118
1/10/18,St Pius X / Oaklette United Church,22,80,0,102,102
1/11/18,St Pius X / Oaklette United Church,27,71,0,98,98
1/12/18,St Pius X / Oaklette United Church,26,71,10,97,107
1/13/18,St Pius X / Oaklette United Church,26,74,22,100,122
1/14/18,St Pius X / Oaklette United Church,24,76,14,100,114
1/15/18,St Pius X / Oaklette United Church,30,76,18,106,124
1/16/18,St Pius X / Oaklette United Church,24,79,14,103,117