Date,Temp Low,Precipitation,Snow,Snow Depth
11/29/17,45,0,0,0
11/30/17,46,0,0,0
12/1/17,41,0,0,0
12/2/17,35.1,0,0,0
12/3/17,44.1,0,0,0
12/4/17,41,0,0,0
12/5/17,45,0.01,0,0
12/6/17,42.1,0.21,0,0
12/7/17,41,0,0,0
12/8/17,37.9,1.3,0,0
12/9/17,33.1,0.87,T,0
12/10/17,30.2,0,0,0
12/11/17,30.2,0,0,0
12/12/17,33.1,0.01,T,0
12/13/17,26.2,0,0,0
12/14/17,37,0,0,0
12/15/17,32,0,0,0
12/16/17,27.1,0,-,-
12/17/17,28.2,0,-,-
12/18/17,37.9,0,-,-
12/19/17,39,0,-,-
12/20/17,44.1,0,-,-
12/21/17,37,0,-,-
12/22/17,39,T,-,-
12/23/17,48.9,T,-,-
12/24/17,41,T,-,-
12/25/17,36,0,-,-
12/26/17,33.1,0,-,-
12/27/17,30.2,0,-,-
12/28/17,23.2,0,-,-
12/29/17,22.1,0,-,-
12/30/17,27.1,0,-,-
12/31/17,22.1,0,-,-
1/1/18,21.2,0,0,0
1/2/18,15.3,0,0,0
1/3/18,13.1,0.42,5.2,0
1/4/18,21.2,0.64,5.12,9.06
1/5/18,15.3,0,0,9.84
1/6/18,15.3,0,0,7.87
1/7/18,10.2,0,0,7.87
1/8/18,10.2,0.01,0,7.09
1/9/18,28.2,0.03,0,5.91
1/10/18,28.2,0,0,5.12
1/11/18,34,0,0,3.94
1/12/18,59,0.49,0,0
1/13/18,30.2,0.05,0,0
1/14/18,23.2,0,0,0
1/15/18,27.1,0,0,0
1/16/18,31.1,0,0,0